ID	10 CN A	102 CN A	12 CN A	13 CN A	16 CN A	19 CN A	22 CN A	3 CN A	45 CN A	51 CN A	59 CN A	60 CN A	62 CN A	7 CN A	9 CN A	HC102 CN A	HC103 CN A	HC105 CN A	HC52 CN A	HC53 CN A	HC55 CN A	HC57 CN A	HC61 CN A	HC62 CN A	HC65 CN A	HC66 CN A	HC68 CN A	HC69 CN A	HC71 CN A	HC72 CN A	HC73 CN A	HC74 CN A	HC76 CN A	HC80 CN A	HC81 CN A	HC82 CN A	HC83 CN A	HC86 CN A
9425	0.9927526	0.88014156	0.6770433	0.68743545	0.18674631	0.96947706	0.9964614	0.13202173	0.92680514	0.82394975	0.9861416	0.5877938	0.10016948	0.83410764	0.99001104	0.8535371	0.8901373	0.8845632	0.95297915	0.6697028	0.16408026	0.080586515	0.32618797	0.34141088	0.22560848	0.51170766	0.080586515	0.9482654	0.080586515	0.13049597	0.12900525	0.8786707	0.080586515	0.24085322	0.99902815	0.86347586	0.7296125	0.74629617
9427	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9429	0.39236906	0.9993513	0.79078245	0.9427096	0.60180926	0.76917183	0.98672837	0.4249605	0.0957622	0.20417377	0.4959591	0.39227545	0.8850366	0.70648307	0.6150453	0.10994486	0.7408618	0.23110087	0.40518454	0.42173025	0.25340024	0.3151413	0.3438909	0.2174514	0.16591553	0.2997671	0.61868626	0.28644064	0.35148504	0.37126428	0.2939932	0.46939656	0.4222122	0.33509538	0.46730623	0.75706506	0.39108706	0.42733034
943	0.36940607	0.42891592	0.36116078	0.38012016	0.36116078	0.36116078	0.36116078	0.36116078	0.36116078	0.36116078	0.36116078	0.36116078	0.36116078	0.36209264	0.36116078	0.36116078	0.36267397	0.36116078	0.36116078	0.44946843	0.46667647	0.36116078	0.7393749	0.36116078	0.36116078	0.5773603	0.36116078	0.370589	0.3642864	0.36116078	0.36116078	0.36116078	0.36206844	0.3627951	0.36116078	0.36116078	0.36116078	0.36116078
9435	0.13519374	0.096430264	0.78090024	0.05633042	0.21553601	0.64329517	0.027181923	0.6201645	2.5143743E-5	0.00107817	0.0018092311	0.007989128	0.0056427587	0.27119425	0.021574909	0.7864237	0.99984294	0.40742618	0.11662301	0.567137	0.415264	0.04404745	0.19984506	0.5158745	0.08828192	0.07801275	0.998094	0.2761376	0.093633585	0.80612	0.0015517155	0.7673477	0.18102665	0.31403387	0.2772339	0.5849701	0.25108975	0.3286428
9436	0.3327621	0.66200733	0.42703265	0.10198927	0.61870164	0.41493896	0.7432437	0.061601743	0.17922175	0.060924523	0.43704033	0.060610164	0.28795758	0.66813487	0.13223398	0.28004673	0.52719903	0.15295778	0.28949058	0.41968748	0.5233416	0.5230914	0.14581987	0.47454792	0.34266886	0.4373455	0.23046641	0.51849985	0.48949113	0.5391723	0.5322626	0.2714264	0.80070245	0.44965422	0.5747787	0.5620875	0.62018895	0.47007972
9437	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9439	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
944	0.8861542	0.21358515	0.21358515	0.21358515	0.21358515	0.21358515	0.21358515	0.86922956	0.21358515	0.21358515	0.21358515	0.21358515	0.21358515	0.70057154	0.21358515	0.21358515	0.21358515	0.21358515	0.93438286	0.21358515	0.99167925	0.21358515	0.21358515	0.21358515	0.21358515	1.0	0.21358515	0.21358515	0.21358515	0.21358515	1.0	0.21358515	0.21358515	0.21358515	0.21358515	0.21358515	0.21358515	0.78288263
9440	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9441	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9442	0.05054204	0.08331462	0.2501056	0.49250737	0.1553297	0.008014701	0.0040092985	0.53613794	0.88364595	0.99719685	0.9611544	0.9999969	0.21837221	0.16860086	0.80287975	0.5622988	0.29968777	0.52730477	0.7578285	0.16194363	0.047496844	0.26389843	0.98211277	0.28260404	0.06131855	0.10364559	0.82045144	0.118757606	0.8407464	0.4411072	0.45744166	0.993429	0.067412734	0.9710119	0.98028004	0.78048503	0.18368532	0.99607223
9443	0.33303127	0.33303127	0.2874009	0.9776079	0.33303127	0.8829811	0.33303127	0.33303127	2.8180293E-7	0.15360522	0.10036597	0.0054143993	0.33303127	0.097507425	0.33303127	0.04993678	0.9750081	0.33303127	0.24581644	0.04934263	0.1785577	0.33303127	0.17895015	2.8180293E-7	0.33303127	0.33303127	0.33303127	0.33303127	0.003108008	0.05118725	0.33303127	0.8803671	0.2512547	0.33303127	0.07175513	0.27627796	0.21458466	0.04866748
94431	0.01735203	0.008504983	0.89952016	7.251147E-6	0.5771916	1.2409321E-5	0.0023920843	6.6464563E-6	3.6490495E-9	1.096233E-5	8.2890246E-8	9.710474E-7	0.0021842127	0.9497669	0.009391049	0.007488863	0.97399503	0.6662977	0.38241255	0.03052693	0.9999741	6.3042335E-6	3.6202946E-5	0.93180597	0.9213669	0.07584013	0.068797804	0.017854357	0.6669835	0.012061277	0.9616075	0.0108773	0.044577595	0.44091976	0.66602904	1.8158011E-4	0.38724008	9.397864E-4
9444	0.96874905	0.39399517	0.36601904	0.5401839	0.016975518	0.4805585	0.8798389	0.25260484	0.6862186	0.9991193	0.6212132	0.11039632	0.40684158	0.731032	0.414758	0.8932467	0.13029559	0.7303016	0.96477795	0.09415046	0.009615529	0.6067095	0.22576614	0.46075702	0.31927988	0.12182787	0.2131498	0.33272117	0.14971597	0.21895996	0.42475897	0.47855875	0.5076229	0.38985246	0.23562388	0.8515273	0.45193234	0.67810273
9445	0.90591633	0.8351656	0.20909426	0.96422523	0.26546672	0.99727875	0.9457394	0.047176387	0.21577522	0.9733439	0.7975246	0.21016686	0.7261021	0.6564845	0.6994077	0.64252126	0.8804095	0.6372161	0.93736136	0.75110686	0.03148067	0.05864006	1.1576632E-4	0.510864	0.15671563	0.0020425303	0.07468654	0.6094078	0.09439512	0.048005905	0.010453532	0.22734575	0.019075848	0.051050145	0.05794695	0.13348813	0.9151346	0.45937088
9446	0.0032581836	0.005874706	0.17657089	0.24253224	0.14979668	0.0021267151	0.00961817	0.61771584	0.8306684	0.6093595	0.5209855	0.9871027	0.015078583	0.014986868	0.9999298	0.0059502875	0.03735462	0.05301162	0.032344222	0.058319397	0.43944478	0.4135408	0.03660816	0.9670311	0.72042775	0.0375994	0.034052745	0.0050496766	0.8370808	0.10906705	3.5837974E-4	0.8611357	0.6333829	0.23607536	0.5177419	0.0013288171	0.11984428	0.780649
9447	0.4033785	0.4033785	0.4033785	0.4033785	0.4033785	0.4033785	0.85492945	0.4033785	0.4033785	0.4033785	0.4033785	0.4033785	1.0	0.4033785	0.4033785	0.4033785	0.4033785	0.4033785	0.4033785	0.4033785	0.4033785	0.99607563	0.4033785	0.4033785	0.4033785	0.4033785	0.4033785	0.4033785	0.4033785	0.4033785	0.9755684	0.4033785	0.4033785	0.4033785	0.4033785	0.4033785	0.4033785	0.4033785
9448	0.98113245	0.99947387	0.8377355	0.19601463	5.595338E-6	0.45300722	0.8927113	0.7500965	0.38006085	0.9668941	0.8485705	0.44593558	0.63138616	0.78859353	0.42954737	0.99999994	0.27160808	0.025722107	1.0	0.9070479	0.45945543	1.0	0.9294162	0.99999976	0.9992399	0.8427613	0.9999988	0.99874574	1.0	0.999327	1.0	0.99999994	1.0	1.0	0.99974746	1.0	0.591478	0.97128826
945	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9450	0.86076224	0.58822846	0.3669446	0.70898366	0.28853568	0.7610992	0.93024343	0.4950524	0.82059944	0.5250242	0.8202811	0.99902636	0.9621739	0.59892106	0.48313427	0.7125919	0.39177075	0.5527401	0.60831463	0.528085	0.4891644	0.43333426	0.76310223	0.36790103	0.7521758	0.32041484	0.47855273	0.5501932	0.8225775	0.43384793	0.2562578	0.29841664	0.7363564	0.38602114	0.4857079	0.8193048	0.6716956	0.26436836
