ID	10 CN A	102 CN A	12 CN A	13 CN A	16 CN A	19 CN A	22 CN A	3 CN A	45 CN A	51 CN A	59 CN A	60 CN A	62 CN A	7 CN A	9 CN A	HC102 CN A	HC103 CN A	HC105 CN A	HC52 CN A	HC53 CN A	HC55 CN A	HC57 CN A	HC61 CN A	HC62 CN A	HC65 CN A	HC66 CN A	HC68 CN A	HC69 CN A	HC71 CN A	HC72 CN A	HC73 CN A	HC74 CN A	HC76 CN A	HC80 CN A	HC81 CN A	HC82 CN A	HC83 CN A	HC86 CN A
10009	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1001	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
10010	0.005965352	0.6836639	0.43127108	1.0967255E-5	0.36801136	0.15916228	0.62464726	0.6290045	0.5488545	5.9604645E-8	0.42547333	0.42851758	0.43633556	0.5328001	0.56259435	0.6836639	0.043291986	0.562832	0.17361987	9.5146894E-4	0.6836639	0.6836639	0.4071418	0.20186901	0.6598841	0.5415271	0.6836639	0.041983724	0.22392815	0.66642857	0.54966867	0.6836639	0.5502635	0.6396836	0.6836639	0.6334606	0.6836639	0.6836639
10013	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
10014	0.46462798	0.21888322	0.6546513	0.9408854	0.8137642	0.56158733	0.55978686	0.95985895	0.99736506	0.993093	0.81891376	0.95790553	0.81114197	0.23996514	0.88014436	0.733979	0.5253447	0.81918097	0.5248801	4.2426586E-4	0.03351766	0.23996514	0.12655526	0.12899423	0.65989065	0.16108292	0.0025359392	0.6632494	0.050812602	0.14540976	0.013770163	0.292134	0.028058589	0.57586265	0.26146442	0.0057795644	0.58966446	0.13963819
10015	4.6944618E-4	0.15694141	0.2102313	0.25994432	0.57849824	0.026815653	0.16877913	0.07759285	0.013436854	0.0033826828	0.043897033	3.424883E-4	2.2828579E-5	0.6272358	0.93348616	0.13902605	0.64642453	0.0052871704	1.92523E-5	0.99410444	0.9764523	0.13263953	1.02341175E-4	0.8637947	0.02775824	0.35062504	5.2452087E-6	0.029279232	3.695488E-6	0.90840644	0.239173	0.18833488	0.9963601	0.44930202	0.5431629	0.0027759671	0.13929766	0.16831052
10016	0.6995789	0.810727	0.75704163	0.65190893	0.74201834	0.29422987	0.14255524	0.43345624	0.010780752	0.03951639	0.044216514	0.08414501	0.5054263	0.964691	0.8178304	0.31237274	0.24799746	0.21250218	0.1602335	0.99915934	0.9322409	0.7156385	0.49035704	0.94671685	0.3730297	0.95058346	0.22361875	0.40598977	0.9991949	0.93603444	0.9408968	0.34641635	0.9999558	0.4795341	0.83367866	0.9931523	0.94699585	0.055579305
10017	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
10018	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
10019	0.16042018	0.2610494	0.47094917	0.43034303	0.3649546	0.7218689	0.26922572	0.94080067	0.98080295	0.9043869	0.7465761	0.51168734	0.47671092	0.112644434	0.9411174	0.37275362	0.46179295	0.09095973	0.2943011	0.3069011	0.32240248	0.32388747	0.7729009	0.7764659	0.8477784	0.4716379	0.7751707	0.14247042	0.13257629	0.79505146	0.24356395	0.75295126	0.7048967	0.62920344	0.71508515	0.052242994	0.42613447	0.73376065
