HHEX	JUN
COPS5	JUN
JUN	MAFB
JUN	RFWD2
EN1	JUN
TBCB	USP7
CTSG	SERPINA3
GTF2B	JUN
HDAC3	JUN
JUN	UBE2I
JUN	RBM39
JUN	RAGE
JUN	MAPKAPK5
BATF	JUN
CREB5	JUN
COBRA1	JUN
JUN	TPM2
CTRL	SERPINA3
JUN	PIAS1
JUN	RPL18A
JDP2	JUN
JUN	SNRK
RNPEP	ZFYVE9
FHL2	ZFYVE9
EIF4G1	ZFYVE9
ZFYVE9	ZMYND8
CHD6	ZFYVE9
RBBP6	ZFYVE9
CTRB1	SERPINA3
RHOT2	ZFYVE9
SF3B1	SMAD5
JUNB	MAPK14
JUNB	SMAD4
JUNB	MAPK8
FOSL2	JUNB
JUNB	SMAD3
BATF	JUNB
JDP2	JUNB
JUND	TBP
CMA1	SERPINA3
JUND	NFE2L2
JUND	SMAD4
JUND	MAPK8
FOSL2	JUND
JUND	MAPK9
ATF3	JUND
COPS5	JUND
JUND	RFWD2
BATF	JUND
JDP2	JUND
MMP1	SERPINA3
SMAD4	SMAD5
CEBPB	SPI1
NONO	SPI1
GATA1	SPI1
IRF8	SPI1
IRF4	SPI1
SPI1	SPIB
SMAD1	SMAD5
FGF5	FGFR2
CELA1	SERPINA3
MTMR10	SMAD5
OPRD1	OPRK1
OPRD1	PRKCA
OPRD1	PRKCE
OPRD1	PRKCD
OPRD1	OPRM1
KLHL3	OPRD1
ELANE	SERPINA3
OPRK1	SLC9A3R1
CREBBP	MECOM
HDAC1	MECOM
CTBP1	MECOM
CTBP2	MECOM
MECOM	SMAD3
HDAC4	MECOM
KAT2B	MECOM
PNKP	SMAD5
GLI1	ZIC1
MST1	SERPINA3
GLI1	ZIC2
GLI1	SUFU
GLI1	STK36
SFPQ	SMAD5
GLI2	ZIC1
GLI2	ZIC2
GLI2	SUFU
GLI2	STK36
GLI3	ZIC3
CREBBP	GLI3
KLK2	SERPINA3
GLI3	ZIC1
GLI3	SMAD4
GLI3	SMAD2
GLI3	SMAD1
GLI3	TWIST1
GLI3	ZIC2
GLI3	SMAD3
GLI3	SUFU
GLI3	STK36
SKIL	SMAD4
ERBB2	SERPINA3
SKIL	SMAD2
SKIL	SMAD3
CDC16	SKIL
FZR1	SKIL
CPNE1	SKIL
CPNE2	SKIL
CPNE4	SKIL
SKIL	SMURF2
LIG4	NHEJ1
ADRA1D	FLNC
KLK3	SERPINA3
CBL	PLCG1
CBL	PTPN6
CBL	TYK2
CBL	ZAP70
CBL	ITK
ABL1	CBL
CBL	SRC
CBL	NOTCH1
BLK	CBL
BTK	CBL
F5	SERPINA3
CBL	SH3KBP1
CBL	SYK
CBL	SCN5A
CBL	VAV2
CBL	NCK1
CBL	SHC1
CBL	INPPL1
CBL	SLA
CBL	PTK2B
