CDK2	CCNE1
CDC7	DBF4
CDK1	CCNA1
CDK1	CCNA2
PLK1	GTSE1
CTDNEP1	CNEP1R1
ESPL1	PTTG1
MAU2	NIPBL
CDC20	FBXO5
FERMT2	FBLIM1
ILK	ITGB1
PXN	PARVA
LIMS1	RSU1
ACTN1	PARVB
ITGA6	ITGB4
CD47	SIRPA
SIRPG	CD47
NPHS1	KIRREL
EVPL	PPL
KAZN	PPL
SAE1	UBA2
ITGA3	ITGB1
ITGB1	ITGA6
ITGA7	ITGB1
ITGA2	ITGB1
ITGB1	ITGA1
ITGAV	ITGB1
ITGB3	ITGA2B
GCHFR	GCH1
TBK1	TMEM173
CD27	CD70
EDA	EDAR
EDA	EDA2R
TNFSF18	TNFRSF18
TNFSF4	TNFRSF4
TNFRSF25	TNFSF15
TNFSF8	TNFRSF8
TNFRSF9	TNFSF9
PTK6	KHDRBS1
AKT1	PTK6
GAD2	GAD1
SMAD2	SMAD4
ITGB1	ITGA10
GP6	FCER1G
PSAP	GBA
CD180	LY86
ITGB2	ITGAM
GJB2	GJB1
GJA1	TJP1
GJA1	SRC
UBE2L6	ISG15
PPM1B	ISG15
IRF3	ISG15
IL13	IL13RA2
IL18BP	IL18
IL32	PRTN3
IL33	IL1RL1
IL9	IL9R
FLT3	FLT3LG
CSF3	CSF3R
MAP3K3	SQSTM1
CSF2RB	JAK2
CSF2RA	CSF2
IL5	IL5RA
TEC	VAV1
PTPN11	GRB2
CBL	BLNK
CBL	VAV1
IL4R	JAK2
SMARCA4	BRWD1
IL12B	IL12A
IL22RA2	IL22
IL17RC	IL17RA
JAK2	GHR
PRLR	JAK2
MAP3K14	TRAF3
TNF	TNFRSF1B
CD40	CD40LG
TNFSF13B	TNFRSF13C
PLCG1	LAT
FYB	LCP2
NCK1	LCP2
TAB2	MAP3K7
ICOSLG	ICOS
BTLA	TNFRSF14
CD28	CD80
CD86	CD28
NFKBIA	NFKB1
CLTC	CLTA
ITGA4	ITGB1
ITGA4	ITGB7
ITGAL	ITGB2
B2M	HLA-E
CDH1	KLRG1
PVR	CD226
NECTIN2	CD226
CD200R1	CD200
JAML	CXADR
HLA-G	B2M
TYROBP	KIR2DS2
SRC	RAF1
RAF1	YWHAZ
CLEC1B	PDPN
ITGAV	ITGB3
ITGB6	ITGAV
ITGB1	ITGA5
TGFB1	LTBP4
ITGB1	ITGA8
ITGB8	ITGAV
RAF1	YWHAB
CDK9	CCNT1
IRF3	PIN1
MAVS	NLRX1
ARHGEF7	CBL
MYD88	IRAK1
CFH	C3
NCAM1	L1CAM
NRP1	L1CAM
ITGA9	ITGB1
MAPK3	MAP2K1
MAP2K2	MAPK1
C5	C6
HBB	HBA1
SMAD7	SMURF2
SMAD7	SMURF1
SMURF2	SMAD2
STUB1	SMAD3
CBL	TGFBR2
JAM3	JAM2
ITGAX	ITGB2
CD244	CD48
CD58	CD2
TNFRSF10D	TNFRSF10A
TNFRSF10B	TNFRSF10D
TEK	ANGPT1
TEK	ANGPT2
INPP5D	PECAM1
PPIL2	BSG
CAV1	BSG
SLC3A2	SLC7A7
SLC7A8	SLC3A2
SLC3A2	SLC7A11
SLC7A5	SLC3A2
SLC3A2	SLC7A10
SLC7A6	SLC3A2
ITGB1	ITGA11
ITGAD	ITGB2
ITGB7	ITGAE
KDR	HSPG2
LDHA	LDHB
SUCLG2	SUCLG1
SUCLA2	SUCLG1
MMP9	TIMP1
TIMP2	MMP14
RBBP7	HAT1
NCOA1	PAX3
HCFC1	BAP1
MAP3K7	TAB1
SKP2	UFD1
RIPK1	TNFAIP3
ATXN3	VCP
STAM	STAMBP
SERPINE1	VTN
AGRN	DAG1
BCL10	MALT1
CBR4	HSD17B8
GOLGB1	ACBD3
HPS4	HPS1
INHBA	INHBB
SUMO1	BRCA1
SUMO1	PARP1
SUMO1	RAD52
SP100	SUMO1
SUMO1	TDG
WRN	SUMO1
SUMO1	SP3
SUMO1	TP53BP1
MDM2	CDKN2A
SUMO1	HNRNPC
SUMO1	TOP1
SUMO1	TOP2A
TOP2B	SUMO1
SETDB1	ATF7IP
WDR77	PRMT5
NEDD4	ERBB4
ASGR2	ASGR1
POMT1	POMT2
C1GALT1C1	C1GALT1
PXN	PTK6
RASA1	ARHGAP35
ATF6	HSPA5
EIF2AK3	HSPA5
HSPA5	ERN1
PIK3R4	PIK3C3
TKFC	IFIH1
CFL1	LIMK1
RXRA	PPARG
DVL2	DACT1
AXIN1	GSK3B
PFKP	PFKL
PFKL	PFKM
NRCAM	ANK1
NRCAM	CNTN2
NRCAM	NFASC
DCX	NFASC
SDCBP	NFASC
MET	PLXNB1
ERBB2	PLXNB1
TLN1	PIP5K1C
PLXND1	SEMA4A
PTPRC	SEMA4D
CD72	SEMA4D
SEMA7A	PLXNC1
FGFR1	NCAM1
FYN	NCAM1
CNTN2	L1CAM
L1CAM	CNTN1
SAV1	STK3
SAV1	STK4
DVL2	WWTR1
YWHAE	WWTR1
RARG	RXRG
RARA	RXRA
RXRA	PPARD
ADD1	ADD2
ADD1	ADD3
PIP	AZGP1
CDC25C	YWHAE
MLX	MLXIPL
BSG	SLC16A3
BSG	SLC16A1
NRP1	KDR
NF2	PAK1
PAK1	FLNA
GOPC	CFTR
TIMM13	TIMM8B
TIMM13	TIMM8A
TIMM10	TIMM9
PMPCA	PMPCB
TAB2	NCOR1
KITLG	KIT
PRKCA	KIT
KIT	PTPRU
LRIG1	MET
PIGX	PIGM
PIGO	PIGF
PIGG	PIGF
CSF2RA	CSF2RB
PSEN1	NCSTN
PPP1CC	PPP1R15A
MMADHC	MMACHC
RNF40	RNF20
SUMO1	RANGAP1
SMARCA5	RSF1
GP1BA	GP1BB
HLA-DOA	HLA-DOB
RELA	NFKBIE
NFKB1	REL
TLE1	HDAC1
STX4	STXBP3
C1S	C1R
ORC2	MCM8
CD8A	CD8B
CD3E	CD3G
CD3E	CD3D
SEC31A	SEC13
KLRD1	KLRC2
GRIN1	GRIN2B
ITSN1	WASL
STXBP1	STX1A
IFNGR2	JAK2
CLOCK	ARNTL2
WDR35	TTC21B
SUMO3	UBA2
UBA2	SUMO1
SUMO2	UBA2
PTK2	SRC
MAFB	JUN
SRC	CSK
STX1A	VAMP2
MSH4	MSH5
MLH3	MLH1
POLR3D	POLR3E
POLR3H	CRCP
PTK2	GRB2
CYBB	CYBA
DDB2	DDB1
IL12RB1	IL23R
IL12B	IL23A
IL20RA	IL20RB
PBX1	PKNOX1
DLG3	DLG4
CD1A	B2M
B2M	CD1B
CD1D	B2M
HDAC2	HDAC1
RAG1	RAG2
ERLIN2	ERLIN1
VAV1	CD19
BCKDHB	BCKDHA
MAT2B	MAT2A
POR	CYP1A2
POR	CYP2C19
PDHA2	PDHB
PDHA1	PDHB
SDHA	SDHB
CPN2	CPN1
PPP2R1A	PPP2CA
MEP1A	MEP1B
ATP4B	ATP4A
EPAS1	ARNT
CXCR3	CXCL10
GNB1	GNG2
F2RL2	F2R
STAT3	STAT4
EFNA5	EPHA8
STAT1	PIAS1
DLL1	NOTCH1
PTK2	VCL
SIRT1	TP53
MDM2	UBE2D1
CREBBP	MYB
NTRK2	NTF3
NR3C1	NCOA2
BAD	YWHAZ
IHH	HHIP
ARNT	HIF1A
PRKCQ	STK39
GRB10	NEDD4
NFATC2	FOXP3
MAP3K8	AKT1
GNA13	GNA12
AJUBA	AURKA
NECTIN1	AFDN
LYN	PLCG2
F2RL2	F2
HDAC3	NFKBIA
ANKRA2	HDAC4
NOS3	HSP90AA1
JUND	JUN
CTNNB1	TCF7L2
CDC25C	YWHAB
FOSL1	JUN
ESR1	HDAC4
SNX2	SNX1
CEBPA	SMARCA2
CCNA2	CDK2
FOSL2	JUND
NCOR1	ESR1
EFNB1	EPHB1
ERBB4	BTC
YY1	HDAC2
IL1R1	IL1RN
EPO	EPOR
VCL	TLN1
NGF	NTRK1
AKT1	RAF1
CASP8	FADD
EFNA1	EPHA2
NOTCH4	DLL4
CTNNB1	TCF7
TRAF2	MAP3K5
SMAD4	SMAD3
ARRB2	SMO
TRRAP	KAT2A
NRP1	FLT1
RBPJ	NOTCH1
EPHB4	EFNB2
STAT1	PTPN2
PRKCZ	PAWR
ZBTB17	IRF8
AKT1	PTPN1
FGF2	FGFR4
FGFR1	FGF2
FGFR2	FGF2
VEGFA	FLT1
KPNB1	KPNA2
AFDN	NECTIN2
JUNB	EP300
RAPGEF1	CRKL
LRP8	RELN
HDAC1	PITX2
PITX2	CTNNB1
PRKCQ	PDPK1
GLI2	SPOP
TRAF6	MAP3K3
TLR2	LY96
TP53	PIN1
GATA1	HDAC1
PARK7	SNCA
NTRK3	NTF3
IL12RB2	JAK2
TDGF1	GPC1
CTNNB1	LEF1
PGF	VEGFA
MYOD1	TCF3
NRG1	ERBB4
SMAD1	SMAD4
MYC	TP73
PFDN5	TP73
FGFR4	FGF1
FGF19	FGFR4
FGFR3	FGF1
FGF1	FGFR2
FGF1	FGFR1
PTP4A1	TUBA1B
SRF	MKL1
TNFSF10	TNFRSF10B
ACVRL1	FKBP1A
RAF1	BRAF
NDEL1	TACC3
PTPA	PPP2CA
ACVR2A	INHBA
ACVR2A	ACVR1
ARNTL	CLOCK
APC	AXIN1
SPEN	RBPJ
TIRAP	MYD88
NEDD8	TP53
TLE1	LEF1
PPP2R3B	PPP2CA
RFXANK	HDAC4
CTNNB1	CDH1
PDGFB	PDGFRB
MDM2	SUMO1
TRAF6	MAP3K5
DOCK1	ELMO1
IL23R	JAK2
TNFRSF10C	TNFSF10
SPI1	TBP
EGFR	TGFA
DOK2	RASA1
CTNND1	CDH1
BCAR1	CRK
APC	CTNNB1
HDAC5	YWHAB
FLT1	PGF
KDELR1	ARFGAP1
ESR1	SMAD4
HDAC6	HSP90AA1
NECTIN3	AFDN
FZD1	WNT3A
HDAC6	HDAC11
HBEGF	ERBB4
PRL	PRLR
PER1	TIMELESS
NTF4	NGFR
EWSR1	BARD1
SOS2	GRB2
BIRC3	BIRC2
FOSL2	JUNB
ILK	RICTOR
CDK6	CCND1
CASP9	APAF1
ELMO1	DOCK2
ILK	PARVA
BTRC	CTNNB1
ELK1	SRF
SMAD5	SMAD4
USF2	FOSL1
PPP1R15A	SMAD7
BARD1	CSTF1
ILK	LIMS1
STAT4	JUN
NINL	TUBG1
HSP90AA1	ERBB2
SMAD9	SMAD4
NCF2	NCF1
TUBB2A	TUBA1B
SMAD7	HDAC1
TNKS	TERF1
STAT3	HDAC3
TGFBR1	BAMBI
WASL	ABI1
PTPN1	BCAR1
HDAC5	YWHAE
RARA	MAPK8
SNCA	TOR1A
COL1A1	COL1A2
KIF23	RACGAP1
TOLLIP	IRAK1
NOTCH1	YY1
RPA2	RPA1
PLK1	ERCC6L
SNCA	SLC6A3
PIK3R1	NFKBIA
AR	NR3C1
JUNB	FOS
APC	ARHGEF4
KLC1	SPAG9
IL1A	IL1R2
NOD2	RIPK2
SIRT1	EP300
FOS	JUND
HES1	TLE1
EPHA3	EFNA5
SOS1	RANBP9
PARD6A	PRKCZ
CDK2	CDKN1B
GNAQ	CYTH2
RAB11FIP3	RAB11A
TP73	PML
E2F4	TFDP1
CYTH2	IPCEF1
NTF3	NTRK1
STAT4	PIAS2
PAFAH1B1	CLIP1
HSPA8	CITED1
SEPT1	AURKB
PTK2	PXN
SERPINE1	PLAU
SMAD3	MYC
FOXO3	SIRT1
PTPN21	SRC
SNCA	PLD1
EFNA5	EPHA5
TCF7L1	CTNNB1
MXD1	MAX
RASA1	DOK1
SH3KBP1	SH3GL2
SH2B1	SH2B2
SDC2	TRAPPC4
RASA1	CSK
XRCC6	SIRT1
RASA1	SDC2
NCOR2	HDAC3
JUN	FOSL2
BMP7	SOSTDC1
YWHAB	HDAC4
TP73	WT1
GPC1	APP
IL1RN	IL1R2
NCK2	IRS1
BCL3	RELA
VEGFC	FLT4
EGFR	EREG
EXOC4	EXOC3
GPC1	SLIT2
CENPU	PLK1
SHC1	GRAP2
FKBP8	BCL2
SUFU	PIAS1
SP1	FOXM1
JUNB	ATF2
IKBKG	ATM
CRK	IRS1
PDGFC	PDGFRA
SRF	MYOCD
TBL1XR1	TBL1X
PPP1R12A	PPP1CB
INPP5D	SHC1
TERF2	ATM
SMARCA4	SMARCB1
MEF2D	CABIN1
WWOX	ERBB4
VEGFD	FLT4
AURKA	BRCA1
PARP1	HES1
TACC1	AURKB
DVL2	DAAM1
CTNNB1	MET
SMARCE1	SMARCA2
EP300	TP63
DCC	NCK1
YWHAE	RAF1
MUC20	MET
GLI3	SPOP
EP300	ATF2
ARRB2	ENG
SDCBP	SDC1
HIF1A	HSP90AA1
GNB3	GNGT2
MYB	MAF
YY1	HDAC3
JUND	ATF2
JUNB	FOSB
PARVB	ILK
ESR1	SET
DSP	JUP
SMAD1	SMAD6
SUMO1	HDAC4
RUVBL2	ATF2
HDAC1	YY1
FLT1	VEGFB
PTPN11	STAT1
SIRT1	FOXO1
CSF1	CSF1R
STAT6	PARP14
IRF4	BCL6
MAPK9	NFATC3
ZFPM1	GATA1
HHIP	DHH
NFKB1	RELB
LRP6	FZD1
HDAC1	NFKBIA
RNF111	AXIN1
TP53	SP1
ONECUT1	FOXM1
FOSB	JUN
PDGFRA	PDGFB
BIRC2	UBE2D3
PLCB2	SNCA
DOK2	NCK1
MAPK3	PRKCD
EPHA4	EFNA1
CREB1	ATF2
SKP2	CDKN1B
JUNB	JUN
SMAD3	SPTBN1
BLM	TOP3A
JUN	ATF3
ARHGEF7	GIT1
LHCGR	ARRB2
KAT5	TRRAP
RUVBL1	RUVBL2
HDAC1	LEF1
GATA1	HDAC3
YWHAE	NDEL1
BCL6	BCOR
PPARGC1A	SIRT1
CDK5R2	CDK5
HIF1A	TP53
COPS5	HIF1A
MAP3K3	RIPK1
RASA1	SOCS3
BUB1	BUB3
TLR3	TICAM1
WDR48	USP1
HDAC4	SRF
DOK2	CRK
MAP3K5	AKT1
MAP3K7	SMAD6
CDKN1A	CDK2
ESR1	NCOR2
BLM	TERF2
BAD	BCL2L1
STAT3	PIAS3
HDAC5	GATA1
E2F1	NSMCE3
CDKN1B	KPNA1
PDGFRB	PDGFD
STAT6	ETS1
BDNF	NGFR
NDC80	SPC24
TNFSF10	TNFRSF10A
ERBB4	NRG3
PTPN1	CDH2
NFATC1	MAPK14
RFXANK	HDAC5
HDAC4	UBE2I
MEF2C	HDAC4
AKT2	CDKN1A
ARNT	HEY2
EP300	GATA1
EPHB2	EFNA5
SKI	SMAD5
PDCD4	EIF4A1
AP2M1	AP2A1
CREB1	JUN
E2F4	TFDP2
HDAC4	YWHAE
CASK	SDC1
CASP10	FADD
NRG2	ERBB4
NOS3	CAV1
NGFR	APP
NDEL1	KATNA1
IL1B	IL1R2
NTRK1	ABL1
SDC4	PRKCA
USP7	DAXX
HDAC7	HDAC3
TRIM28	MDM2
HES1	HES6
WWP1	SMAD7
HEY1	MYOD1
CEBPA	CDK2
SHC1	RASA1
SMAD6	SMURF1
CXCR3	CXCL9
CRKL	CBL
HDAC5	GATA2
TERT	ABL1
CTNNA1	CTNNB1
HOXA10	SIRT2
TIMELESS	CRY2
FBXW11	CTNNB1
FOXO4	SIRT1
NGFR	NTF3
BIN1	TP73
YAP1	PML
NFATC3	CSNK1A1
SMAD3	AXIN1
PSMA3	AURKB
STAT5A	ESR1
SDC2	EZR
TLE2	LEF1
CREBBP	JUN
TAB1	MAPK14
CSNK1A1	NFATC2
BTC	EGFR
SDC4	SDCBP
NR2C1	HDAC3
APC	DLG1
KDR	VEGFC
ZBTB17	EP300
